campaign,ad_group,keyword,match_type,final_url,max_cpc
Pawpop-webtraffic-search,Pet Mom Gifts,[best dog mom gifts],Exact,https://www.pawpopart.com/?utm_source=google&utm_medium=cpc&utm_campaign=pawpop-webtraffic-search&utm_content=pet-mom-gifts&utm_term=best-dog-mom-gifts,3.0
Pawpop-webtraffic-search,Pet Mom Gifts,"""best dog mom gifts""",Phrase,https://www.pawpopart.com/?utm_source=google&utm_medium=cpc&utm_campaign=pawpop-webtraffic-search&utm_content=pet-mom-gifts&utm_term=best-dog-mom-gifts-phrase,3.0
Pawpop-webtraffic-search,Pet Mom Gifts,[dog mom presents],Exact,https://www.pawpopart.com/?utm_source=google&utm_medium=cpc&utm_campaign=pawpop-webtraffic-search&utm_content=pet-mom-gifts&utm_term=dog-mom-presents,3.0
